chrom,chromStart,chromEnd,symbol,cell,rep,score,strand
chr1,150345371,150345392,PRPF3,MOLM2,A,17.6847660615008,+
chr1,1233658,1233753,B3GALT6,MOLM2,A,17.3785712151155,+
chr1,32845393,32845428,S100PBP,MOLM2,A,17.3785712151155,+
chr1,171579829,171579901,PRRC2C,MOLM2,A,17.1876616288229,+
chr1,43930550,43930639,ST3GAL3,MOLM2,A,17.1776063946106,+
chr1,178139603,178139704,RASAL2,MOLM2,A,17.1312155991194,+
chr1,231960253,231960332,DISC1,MOLM2,A,17.1312155991194,+
chr1,183497579,183497618,SMG7,MOLM2,A,17.1312155991194,+
chr1,224118027,224118051,FBXO28,MOLM2,A,17.1312155991194,+
chr1,40270068,40270131,ZMPSTE24,MOLM2,A,17.0145825083156,+
chr1,81503832,81503898,ADGRL2,MOLM2,A,16.619322504005,+
chr1,113942073,113942136,HIPK1,MOLM2,A,16.619322504005,+
chr1,40712874,40712920,NFYC,MOLM2,A,16.1039497831147,+
chr1,100519547,100519630,CDC14A,MOLM2,A,16.0523856864145,+
chr1,87345541,87345572,LMO4,MOLM2,A,15.9596350441399,+
chr1,116972961,116973035,PTGFRN,MOLM2,A,15.8446663921612,+
chr1,15650617,15650718,DDI2,MOLM2,A,15.5841500953324,+
chr1,39486616,39486688,MACF1,MOLM2,A,15.2687659057043,+
chr1,110354624,110354664,LAMTOR5-AS1,MOLM2,A,15.0588984584463,+
chr1,247443180,247443346,NLRP3,MOLM2,A,14.9945483526712,+
chr1,11289571,11289642,UBIAD1,MOLM2,A,14.9945483526712,+
chr1,36180620,36180752,MAP7D1,MOLM2,A,14.8962988804105,+
chr1,245044496,245044580,EFCAB2,MOLM2,A,14.7939071083312,+
chr1,28447020,28447077,PHACTR4,MOLM2,A,14.7939071083312,+
chr1,100292254,100292372,RTCA,MOLM2,A,14.7255627213286,+
chr1,151201140,151201225,PIP5K1A,MOLM2,A,14.7255627213286,+
chr1,89644165,89644216,LRRC8C,MOLM2,A,14.7255627213286,+
chr1,35971176,35971190,AGO3,MOLM2,A,14.5515384067441,+
chr1,120958563,120958647,LINC00623,MOLM2,A,14.5271781920881,+
chr1,180026299,180026372,CEP350,MOLM2,A,14.5271781920881,+
chr1,11935543,11935598,PLOD1,MOLM2,A,14.4547113197881,+
chr1,224009921,224009961,AC138393.1,MOLM2,A,14.4547113197881,+
chr1,224009893,224009921,AC138393.1,MOLM2,A,14.4547113197881,+
chr1,28474954,28475040,PHACTR4,MOLM2,A,14.2586058630023,+
chr1,113077699,113077784,LRIG2,MOLM2,A,14.2586058630023,+
chr1,110354613,110354624,LAMTOR5-AS1,MOLM2,A,14.2586058630023,+
chr1,15940333,15940442,SPEN,MOLM2,A,14.2220442261187,+
chr1,230996455,230996513,ARV1,MOLM2,A,14.2220442261187,+
chr1,150462564,150462635,RPRD2,MOLM2,A,14.1849545552953,+
chr1,111648066,111648121,RAP1A,MOLM2,A,14.1849545552953,+
chr1,35370007,35370086,ZMYM4,MOLM2,A,14.049554720954,+
chr1,15653280,15653326,DDI2,MOLM2,A,13.9881011053557,+
chr1,2397999,2398064,RER1,MOLM2,A,13.9352223978166,+
chr1,165850136,165850226,UCK2,MOLM2,A,13.9240871445778,+
chr1,35971190,35971207,AGO3,MOLM2,A,13.9240871445778,+
chr1,147264401,147264483,CHD1L,MOLM2,A,13.8994226972104,+
chr1,31336059,31336134,ZCCHC17,MOLM2,A,13.7155961142806,+
chr1,155184603,155184668,TRIM46,MOLM2,A,13.7155961142806,+
chr1,71209646,71209706,ZRANB2-AS2,MOLM2,A,13.7155961142806,+
chr1,26449129,26449176,DHDDS,MOLM2,A,13.7155961142806,+
chr1,26449111,26449129,DHDDS,MOLM2,A,13.7155961142806,+
chr1,231861300,231861380,DISC1,MOLM2,A,13.6847460967454,+
chr1,154275723,154275862,HAX1,MOLM2,A,13.4481476121537,+
chr1,51775547,51775665,OSBPL9,MOLM2,A,13.4410480768023,+
chr1,201850971,201851018,IPO9,MOLM2,A,13.4334266426176,+
chr1,145659231,145659251,GPR89A,MOLM2,A,13.4033034128576,+
chr1,235428627,235428715,TBCE,MOLM2,A,13.1811598624715,+
chr1,173750313,173750380,KLHL20,MOLM2,A,12.9278402066932,+
chr1,6818958,6819026,CAMTA1,MOLM2,A,12.8885462640797,+
chr1,241866518,241866576,EXO1,MOLM2,A,12.8885462640797,+
chr1,147982008,147982084,GPR89B,MOLM2,A,12.8857938120456,+
chr1,6799083,6799138,CAMTA1,MOLM2,A,12.8857938120456,+
chr1,75763354,75763440,ACADM,MOLM2,A,12.814174640387,+
chr1,171548826,171548926,PRRC2C,MOLM2,A,12.7713881923944,+
chr1,246631453,246631540,CNST,MOLM2,A,12.634331408627,+
chr1,26123037,26123154,PDIK1L,MOLM2,A,12.5113114027907,+
chr1,165829864,165829935,UCK2,MOLM2,A,12.1605254093974,+
chr1,211288603,211288705,RCOR3,MOLM2,A,11.9866082444846,+
chr1,112631712,112631842,CAPZA1,MOLM2,A,11.9552529409119,+
chr1,27851119,27851204,PPP1R8,MOLM2,A,11.6992089320122,+
chr1,167393523,167393568,POU2F1,MOLM2,A,11.6419301236477,+
chr1,11935534,11935543,PLOD1,MOLM2,A,11.6419301236477,+
chr1,2308111,2308224,SKI,MOLM2,A,11.6294314012329,+
chr1,15918107,15918169,SPEN,MOLM2,A,11.6087950433096,+
chr1,178182084,178182198,RASAL2,MOLM2,A,11.3803045034357,+
chr1,150464870,150464965,RPRD2,MOLM2,A,11.3496675080821,+
chr1,46357927,46357985,NSUN4,MOLM2,A,11.1170743091821,+
chr1,167393507,167393523,POU2F1,MOLM2,A,11.1170743091821,+
chr1,35282520,35282660,ZMYM4,MOLM2,A,11.0892042586578,+
chr1,147982084,147982130,GPR89B,MOLM2,A,11.0892042586578,+
chr1,183497618,183497631,SMG7,MOLM2,A,11.0892042586578,+
chr1,26763978,26764049,ARID1A,MOLM2,A,11.0030414796569,+
chr1,15066819,15066986,KAZN,MOLM2,A,10.9136401693252,+
chr1,26932018,26932054,NUDC,MOLM2,A,10.8522287904624,+
chr1,54203141,54203237,MRPL37,MOLM2,A,10.8272902594924,+
chr1,150958740,150958818,SETDB1,MOLM2,A,10.8272902594924,+
chr1,163341634,163341706,NUF2,MOLM2,A,10.8272902594924,+
chr1,10121420,10121491,UBE4B,MOLM2,A,10.8272902594924,+
chr1,39485945,39486027,MACF1,MOLM2,A,10.7573239314707,+
chr1,224190063,224190197,DEGS1,MOLM2,A,10.7132754911586,+
chr1,247448936,247448990,NLRP3,MOLM2,A,10.7132754911586,+
chr1,9255285,9255361,H6PD,MOLM2,A,10.5857833172814,+
chr1,247442852,247442923,NLRP3,MOLM2,A,10.5857833172814,+
chr1,9543164,9543208,SLC25A33,MOLM2,A,10.5857833172814,+
chr1,26932054,26932091,NUDC,MOLM2,A,10.5857833172814,+
chr1,9543154,9543164,SLC25A33,MOLM2,A,10.5857833172814,+
chr1,26278714,26278791,CEP85,MOLM2,A,10.5106395438199,+
chr1,50974410,50974504,CDKN2C,MOLM2,A,10.3925235306738,+
chr1,43883006,43883070,ST3GAL3,MOLM2,A,10.3177788158986,+
chr1,161808583,161808637,ATF6,MOLM2,A,10.3177788158986,+
chr1,160372375,160372470,NHLH1,MOLM2,A,10.2986971622805,+
chr1,203834244,203834335,ZC3H11A|ZBED6,MOLM2,A,10.2986971622805,+
chr1,40734437,40734511,NFYC,MOLM2,A,10.2986971622805,+
chr1,63377736,63377801,ALG6,MOLM2,A,10.2986971622805,+
chr1,47340141,47340186,CMPK1,MOLM2,A,10.0690429754437,+
chr1,150397934,150398044,RPRD2,MOLM2,A,10.0318492970344,+
chr1,245102359,245102424,EFCAB2,MOLM2,A,10.0318492970344,+
chr1,70251504,70251606,SRSF11,MOLM2,A,9.9038898249154,+
chr1,27850811,27850899,PPP1R8,MOLM2,A,9.9038898249154,+
chr1,87049284,87049400,AC093155.3|HS2ST1,MOLM2,A,9.76322223015975,+
chr1,235428442,235428548,TBCE,MOLM2,A,9.76322223015975,+
chr1,225038227,225038332,DNAH14,MOLM2,A,9.76322223015975,+
chr1,89573417,89573487,LRRC8B,MOLM2,A,9.76322223015975,+
chr1,70428619,70428662,CTH,MOLM2,A,9.76322223015975,+
chr1,247442814,247442852,NLRP3,MOLM2,A,9.76322223015975,+
chr1,225782177,225782202,SRP9,MOLM2,A,9.76322223015975,+
chr1,150345392,150345410,PRPF3,MOLM2,A,9.76322223015975,+
chr1,89593526,89593630,LRRC8B,MOLM2,A,9.69849254296156,+
chr1,247448990,247449061,NLRP3,MOLM2,A,9.69849254296156,+
chr1,87345589,87345624,LMO4,MOLM2,A,9.57412470537888,+
chr1,89718479,89718548,LRRC8C,MOLM2,A,9.55976806377321,+
chr1,25802672,25802761,SELENON,MOLM2,A,9.49278890009253,+
chr1,99986593,99986676,SLC35A3|AC118553.2,MOLM2,A,9.49278890009253,+
chr1,100014224,100014305,AC118553.2|SLC35A3,MOLM2,A,9.49278890009253,+
chr1,168202026,168202100,TIPRL,MOLM2,A,9.49278890009253,+
chr1,9672591,9672659,PIK3CD,MOLM2,A,9.49278890009253,+
chr1,225782202,225782236,SRP9,MOLM2,A,9.49278890009253,+
chr1,150345356,150345371,PRPF3,MOLM2,A,9.49278890009253,+
chr1,87345578,87345589,LMO4,MOLM2,A,9.49278890009253,+
chr1,9241369,9241490,H6PD,MOLM2,A,9.32543304878084,+
chr1,94424417,94424503,ABCD3,MOLM2,A,9.32543304878084,+
chr1,28674288,28674356,GMEB1,MOLM2,A,9.22055257957251,+
chr1,154462812,154462874,IL6R,MOLM2,A,9.22055257957251,+
chr1,100083147,100083263,MFSD14A,MOLM2,A,9.01034563153388,+
chr1,155330625,155330784,RUSC1,MOLM2,A,8.94654776297108,+
chr1,43726282,43726350,ST3GAL3,MOLM2,A,8.94654776297108,+
chr1,26924558,26924615,NUDC,MOLM2,A,8.94654776297108,+
chr1,15918169,15918214,SPEN,MOLM2,A,8.94654776297108,+
chr1,167311799,167311834,POU2F1,MOLM2,A,8.94654776297108,+
chr1,89850283,89850350,LRRC8D,MOLM2,A,8.83247590757979,+
chr1,36288290,36288343,THRAP3,MOLM2,A,8.82514476308247,+
chr1,168249858,168249924,SFT2D2,MOLM2,A,8.77244826815125,+
chr1,25567189,25567282,LDLRAP1,MOLM2,A,8.68049357455314,+
chr1,40375950,40376028,SMAP2,MOLM2,A,8.68049357455314,+
chr1,12384629,12384697,VPS13D,MOLM2,A,8.68049357455314,+
chr1,109226757,109226787,SARS,MOLM2,A,8.68049357455314,+
chr1,210673800,210673884,HHAT,MOLM2,A,8.67084120096159,+
chr1,198209816,198209887,NEK7,MOLM2,A,8.67084120096159,+
chr1,35091230,35091291,ZMYM1,MOLM2,A,8.67084120096159,+
chr1,15918237,15918298,SPEN,MOLM2,A,8.67084120096159,+
chr1,167311834,167311877,POU2F1,MOLM2,A,8.67084120096159,+
chr1,75794778,75794856,RABGGTB,MOLM2,A,8.57339034223177,+
chr1,43883378,43883445,ST3GAL3,MOLM2,A,8.57339034223177,+
chr1,202524369,202524420,PPP1R12B,MOLM2,A,8.57339034223177,+
chr1,2251294,2251380,SKI,MOLM2,A,8.5337859433487,+
chr1,119184503,119184640,AL359915.2,MOLM2,A,8.48662256634801,+
chr1,110357453,110357523,LAMTOR5-AS1,MOLM2,A,8.48662256634801,+
chr1,119717034,119717124,PHGDH,MOLM2,A,8.42833599714714,+
chr1,169800219,169800288,C1orf112,MOLM2,A,8.42833599714714,+
chr1,92359308,92359368,RPAP2,MOLM2,A,8.42833599714714,+
chr1,6799028,6799083,CAMTA1,MOLM2,A,8.42833599714714,+
chr1,70428662,70428688,CTH,MOLM2,A,8.42833599714714,+
chr1,151698822,151698950,SNX27,MOLM2,A,8.3586548088174,+
chr1,113973514,113973558,HIPK1,MOLM2,A,8.24279473822786,+
chr1,54098483,54098611,TCEANC2,MOLM2,A,8.23972381400932,+
chr1,88757297,88757387,PKN2,MOLM2,A,8.17540711124526,+
chr1,179076003,179076076,FAM20B,MOLM2,A,8.06635724433497,+
chr1,28919827,28919891,EPB41,MOLM2,A,8.06635724433497,+
chr1,12023695,12023762,MIIP,MOLM2,A,8.00532776868064,+
chr1,2251623,2251706,SKI,MOLM2,A,7.92160227611769,+
chr1,180825155,180825226,XPR1,MOLM2,A,7.92160227611769,+
chr1,156771990,156772051,PRCC,MOLM2,A,7.92160227611769,+
chr1,15653326,15653351,DDI2,MOLM2,A,7.92160227611769,+
chr1,32333142,32333229,HDAC1,MOLM2,A,7.84581956788818,+
chr1,113110964,113111049,LRIG2,MOLM2,A,7.81100996041304,+
chr1,171549205,171549270,PRRC2C,MOLM2,A,7.81100996041304,+
chr1,51675385,51675448,OSBPL9,MOLM2,A,7.81100996041304,+
chr1,43724221,43724306,ST3GAL3,MOLM2,A,7.76734256814759,+
chr1,150386204,150386210,RPRD2,MOLM2,A,7.76734256814759,+
chr1,28763957,28764023,YTHDF2,MOLM2,A,7.66681600185137,+
chr1,224117451,224117512,FBXO28,MOLM2,A,7.66681600185137,+
chr1,109226787,109226803,SARS,MOLM2,A,7.66681600185137,+
chr1,89719290,89719320,LRRC8C,MOLM2,A,7.57117024294008,+
chr1,89719320,89719347,LRRC8C,MOLM2,A,7.57117024294008,+
chr1,32186190,32186281,TXLNA,MOLM2,A,7.55443409104641,+
chr1,10103440,10103509,UBE4B,MOLM2,A,7.55443409104641,+
chr1,26937609,26937707,NUDC,MOLM2,A,7.41094480456949,+
chr1,247442942,247443015,NLRP3,MOLM2,A,7.41094480456949,+
chr1,31362341,31362410,ZCCHC17,MOLM2,A,7.41094480456949,+
chr1,151249333,151249446,PIP5K1A,MOLM2,A,7.32860747281329,+
chr1,32856294,32856357,S100PBP,MOLM2,A,7.29665719757943,+
chr1,193253418,193253563,CDC73,MOLM2,A,7.2794107511403,+
chr1,35837996,35838107,AGO4,MOLM2,A,7.15389184986449,+
chr1,167323645,167323752,POU2F1,MOLM2,A,7.15389184986449,+
chr1,108639153,108639235,FAM102B,MOLM2,A,7.15389184986449,+
chr1,151089660,151089731,GABPB2,MOLM2,A,7.15389184986449,+
chr1,109564232,109564347,GNAI3,MOLM2,A,7.08538878448779,+
chr1,166853746,166853828,POGK,MOLM2,A,7.08538878448779,+
chr1,246667246,246667343,CNST,MOLM2,A,7.04971446516634,+
chr1,171585874,171585949,PRRC2C,MOLM2,A,7.04971446516634,+
chr1,35369962,35370007,ZMYM4,MOLM2,A,7.03773610128448,+
chr1,12023257,12023339,MIIP,MOLM2,A,6.89557161801286,+
chr1,40267374,40267437,ZMPSTE24,MOLM2,A,6.89557161801286,+
chr1,28425120,28425204,PHACTR4,MOLM2,A,6.80914354295291,+
chr1,150386297,150386319,RPRD2,MOLM2,A,6.80914354295291,+
chr1,111619816,111619939,RAP1A,MOLM2,A,6.76396685288236,+
chr1,15592059,15592142,DNAJC16,MOLM2,A,6.63591487814774,+
chr1,244656760,244656837,DESI2,MOLM2,A,6.63591487814774,+
chr1,179999749,179999825,CEP350,MOLM2,A,6.63591487814774,+
chr1,111634615,111634691,RAP1A,MOLM2,A,6.63591487814774,+
chr1,35947119,35947183,AGO3,MOLM2,A,6.63591487814774,+
